AL, 04, 2010080106, 01, CARQ, -24,  86N,  332W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP20,   0, 100N,  359W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP20,   6,  91N,  380W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP20,  12,  90N,  390W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,   0,  97N,  355W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,   6, 100N,  357W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  12, 108N,  352W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  18, 110N,  355W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  24, 111N,  368W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  30, 118N,  384W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  36, 125N,  405W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  42, 130N,  426W,  32, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  48, 135N,  449W,  35, 1009, XX,  34, NEQ,   74,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  54, 140N,  469W,  37, 1011, XX,  34, NEQ,   76,    0,    0,   61, 
AL, 04, 2010080106, 03, AVNO,  60, 146N,  488W,  40, 1009, XX,  34, NEQ,   93,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO,  66, 152N,  508W,  42, 1010, XX,  34, NEQ,  115,    0,    0,   79, 
AL, 04, 2010080106, 03, AVNO,  72, 159N,  529W,  40, 1008, XX,  34, NEQ,  115,    0,    0,   66, 
AL, 04, 2010080106, 03, AVNO,  78, 167N,  548W,  39, 1011, XX,  34, NEQ,  115,    0,    0,   78, 
AL, 04, 2010080106, 03, AVNO,  84, 175N,  564W,  42, 1008, XX,  34, NEQ,  126,  109,    0,   91, 
AL, 04, 2010080106, 03, AVNO,  90, 183N,  578W,  44, 1010, XX,  34, NEQ,  125,  103,    0,   79, 
AL, 04, 2010080106, 03, AVNO,  96, 191N,  595W,  48, 1007, XX,  34, NEQ,  128,  118,    0,   70, 
AL, 04, 2010080106, 03, AVNO, 102, 198N,  611W,  50, 1009, XX,  34, NEQ,  119,   66,    0,   76, 
AL, 04, 2010080106, 03, AVNO, 108, 204N,  626W,  41, 1008, XX,  34, NEQ,   97,    0,    0,   73, 
AL, 04, 2010080106, 03, AVNO, 114, 208N,  639W,  41, 1009, XX,  34, NEQ,  105,    0,    0,   74, 
AL, 04, 2010080106, 03, AVNO, 120, 213N,  651W,  38, 1008, XX,  34, NEQ,   96,   69,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 126, 219N,  657W,  48, 1009, XX,  34, NEQ,  104,   75,    0,   70, 
AL, 04, 2010080106, 03, AVNO, 132, 223N,  668W,  42, 1008, XX,  34, NEQ,  111,   53,    0,   85, 
AL, 04, 2010080106, 03, AVNO, 138, 225N,  679W,  41, 1009, XX,  34, NEQ,  101,    0,    0,   89, 
AL, 04, 2010080106, 03, AVNO, 144, 229N,  691W,  38, 1008, XX,  34, NEQ,   92,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 150, 234N,  702W,  38, 1009, XX,  34, NEQ,   84,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 156, 239N,  712W,  34, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 162, 241N,  721W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 168, 242N,  732W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 174, 242N,  740W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AVNO, 180, 243N,  746W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  12,  93N,  368W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  24,  97N,  388W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  36, 103N,  411W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  48, 110N,  437W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  60, 120N,  465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  72, 131N,  493W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  84, 141N,  520W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD,  96, 150N,  545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD, 108, 159N,  569W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD, 120, 167N,  589W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD, 132, 174N,  606W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD, 144, 180N,  622W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD, 156, 186N,  636W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMD, 168, 191N,  652W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  12,  95N,  368W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  24, 100N,  388W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  36, 106N,  413W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  48, 115N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  60, 127N,  471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  72, 140N,  502W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  84, 156N,  533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM,  96, 170N,  562W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM, 108, 186N,  588W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM, 120, 199N,  610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM, 132, 213N,  630W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM, 144, 225N,  647W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM, 156, 239N,  668W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMM, 168, 252N,  688W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  12,  96N,  364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  24, 100N,  381W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  36, 107N,  406W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  48, 115N,  434W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  60, 125N,  466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  72, 137N,  501W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  84, 151N,  537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS,  96, 164N,  571W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS, 108, 180N,  603W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS, 120, 193N,  632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS, 132, 207N,  660W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS, 144, 216N,  684W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS, 156, 226N,  708W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, BAMS, 168, 234N,  728W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLIP,  12,  92N,  360W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLIP,  24,  98N,  377W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLIP,  36, 106N,  397W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLIP,  48, 118N,  422W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLIP,  72, 148N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  12,  93N,  363W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  24,  97N,  377W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  36, 101N,  395W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  48, 109N,  420W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  60, 113N,  444W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  72, 118N,  467W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  84, 125N,  498W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5,  96, 136N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5, 108, 149N,  554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, CLP5, 120, 160N,  580W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,   0,  90N,  350W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  12,  95N,  368W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  24, 100N,  388W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  36, 106N,  413W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  48, 115N,  440W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  60, 127N,  471W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  72, 140N,  502W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  84, 156N,  533W,  82,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP,  96, 170N,  562W,  85,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP, 108, 186N,  588W,  83,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, DSHP, 120, 199N,  610W,  82,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  12,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  24,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  36,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  48,   0N,    0W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  60,   0N,    0W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  72,   0N,    0W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  84,   0N,    0W,  75,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN,  96,   0N,    0W,  79,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN, 108,   0N,    0W,  79,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, IVCN, 120,   0N,    0W,  77,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,   0,  90N,  350W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  12,  93N,  367W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  24, 100N,  391W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  36, 107N,  421W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  48, 115N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  60, 123N,  493W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  72, 131N,  527W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  84, 141N,  557W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR,  96, 155N,  581W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LBAR, 108, 198N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,   0,  90N,  350W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  12,  95N,  368W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  24, 100N,  388W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  36, 106N,  413W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  48, 115N,  440W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  60, 127N,  471W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  72, 140N,  502W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  84, 156N,  533W,  67,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM,  96, 170N,  562W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM, 108, 186N,  588W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, LGEM, 120, 199N,  610W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,   0,  90N,  365W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,   6,  86N,  380W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  12,  87N,  387W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  18,  88N,  391W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  24,  90N,  395W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  30,  92N,  401W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  36,  91N,  407W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  42,  92N,  416W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  48,  96N,  421W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  54,  99N,  426W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  60, 105N,  428W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, NGPS,  66, 109N,  435W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  12,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  24,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  36,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  48,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  60,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  72,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  84,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5,  96,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5, 108,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHF5, 120,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHFR,  12,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHFR,  24,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHFR,  36,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHFR,  48,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHFR,  60,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHFR,  72,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,   0,  90N,  350W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  12,  95N,  368W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  24, 100N,  388W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  36, 106N,  413W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  48, 115N,  440W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  60, 127N,  471W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  72, 140N,  502W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  84, 156N,  533W,  82,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP,  96, 170N,  562W,  85,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP, 108, 186N,  588W,  83,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, SHIP, 120, 199N,  610W,  82,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,   0,  90N,  350W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  12,  92N,  357W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  24,  94N,  365W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  36,  96N,  373W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  48,  98N,  381W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  60, 100N,  389W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  72, 102N,  397W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  84, 104N,  405W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP,  96, 106N,  413W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP, 108, 108N,  421W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP, 120, 110N,  429W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP, 132, 112N,  437W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP, 144, 114N,  445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP, 156, 116N,  453W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, XTRP, 168, 118N,  462W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2010080112, 01, CARQ, -24,  90N,  333W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 04, 2010080112, 01, CARQ, -18,  92N,  338W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 04, 2010080112, 01, CARQ, -12,  94N,  345W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 289,   8, 
AL, 04, 2010080112, 01, CARQ,  -6,  97N,  353W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 04, 2010080112, 01, CARQ,   0, 100N,  363W,  25, 1007, LO,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   L,   0,   X, 290,   9,     INVEST, M, 
AL, 04, 2010080112, 01, CARQ,   0, 100N,  363W,  25, 1007, LO,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   L,   0,   X, 290,   9,     INVEST, M, 
AL, 04, 2010080112, 01, CARQ,   0, 100N,  363W,  25, 1007, LO,  64, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   L,   0,   X, 290,   9,     INVEST, M, 
AL, 04, 2010080112, 03,  CMC,   0,  98N,  367W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,   6,  96N,  381W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  12,  98N,  384W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  18, 110N,  391W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  24, 118N,  401W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  30, 120N,  419W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  36, 126N,  433W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  42, 130N,  451W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  48, 138N,  472W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  54, 140N,  495W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  60, 148N,  515W,  35, 1009, XX,  34, NEQ,   81,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  66, 151N,  538W,  35, 1008, XX,  34, NEQ,   78,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  72, 159N,  558W,  37, 1008, XX,  34, NEQ,   94,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  78, 167N,  575W,  36, 1007, XX,  34, NEQ,   88,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  84, 173N,  591W,  39, 1007, XX,  34, NEQ,  102,    0,    0,    0, 
AL, 04, 2010080112, 03,  CMC,  90, 180N,  610W,  43, 1005, XX,  34, NEQ,  126,    0,    0,   69, 
AL, 04, 2010080112, 03,  CMC,  96, 189N,  622W,  44, 1006, XX,  34, NEQ,  109,    0,    0,   83, 
AL, 04, 2010080112, 03,  CMC, 102, 198N,  639W,  43, 1004, XX,  34, NEQ,  130,    0,    0,   85, 
AL, 04, 2010080112, 03,  CMC, 108, 202N,  650W,  46, 1004, XX,  34, NEQ,  124,   58,    0,  113, 
AL, 04, 2010080112, 03,  CMC, 114, 210N,  660W,  48, 1003, XX,  34, NEQ,  135,   58,    0,   91, 
AL, 04, 2010080112, 03,  CMC, 120, 220N,  670W,  47, 1003, XX,  34, NEQ,  135,    0,    0,   84, 
AL, 04, 2010080112, 03,  CMC, 126, 231N,  681W,  47, 1002, XX,  34, NEQ,  133,   64,   50,   84, 
AL, 04, 2010080112, 03,  CMC, 132, 240N,  692W,  47, 1001, XX,  34, NEQ,  118,   84,    0,   88, 
AL, 04, 2010080112, 03,  CMC, 138, 248N,  702W,  48, 1001, XX,  34, NEQ,  111,   87,    0,   86, 
AL, 04, 2010080112, 03,  CMC, 144, 251N,  710W,  50, 1000, XX,  34, NEQ,  123,  109,    0,  101, 
AL, 04, 2010080112, 03,  CMC, 144, 251N,  710W,  50, 1000, XX,  50, NEQ,    0,    0,    0,   58, 
AL, 04, 2010080112, 03, AEMI,   0, 100N,  363W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03, AEMI,  12, 105N,  368W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080112, 03, AEMI,  24, 112N,  390W,   0,    0,   ,  34, NEQ,    0,    0,    0,    0, 
